,image_name,infer,conf,infer2,conf2
0,0b.png,tensor(90.4119),tensor(1),tensor(57.1107),tensor(38)
1,10b.png,tensor(95.5279),tensor(2),tensor(78.2437),tensor(23)
2,11b.png,tensor(91.2308),tensor(3),tensor(81.4226),tensor(57)
3,12b.png,tensor(93.3864),tensor(4),tensor(74.3375),tensor(38)
4,13b.png,tensor(92.6025),tensor(5),tensor(72.2479),tensor(43)
5,14b.png,tensor(90.4620),tensor(6),tensor(79.8915),tensor(47)
6,15b.png,tensor(92.4507),tensor(7),tensor(68.6854),tensor(89)
7,16b.png,tensor(93.8443),tensor(8),tensor(75.8542),tensor(68)
8,17b.png,tensor(90.2111),tensor(9),tensor(81.5039),tensor(68)
9,18b.png,tensor(96.1494),tensor(10),tensor(73.9181),tensor(71)
10,19b.png,tensor(97.5638),tensor(11),tensor(81.8140),tensor(56)
11,1b.png,tensor(97.3593),tensor(12),tensor(76.5004),tensor(45)
12,20b.png,tensor(95.9822),tensor(13),tensor(83.5919),tensor(79)
13,21b.png,tensor(98.1937),tensor(14),tensor(83.9134),tensor(32)
14,22b.png,tensor(96.9145),tensor(15),tensor(79.4956),tensor(71)
15,23b.png,tensor(96.9272),tensor(16),tensor(83.7419),tensor(80)
16,24b.png,tensor(88.3931),tensor(17),tensor(70.1924),tensor(18)
17,25b.png,tensor(95.4733),tensor(18),tensor(79.8911),tensor(47)
18,26b.png,tensor(90.2695),tensor(19),tensor(78.1937),tensor(18)
19,27b.png,tensor(96.0038),tensor(20),tensor(84.7373),tensor(60)
20,28b.png,tensor(96.7647),tensor(21),tensor(81.2554),tensor(54)
21,29b.png,tensor(94.8706),tensor(22),tensor(69.9656),tensor(38)
22,2b.png,tensor(90.6622),tensor(23),tensor(78.4755),tensor(2)
23,30b.png,tensor(95.4702),tensor(24),tensor(83.4744),tensor(59)
24,31b.png,tensor(92.2811),tensor(25),tensor(64.0105),tensor(85)
25,32b.png,tensor(94.1460),tensor(26),tensor(71.0799),tensor(78)
26,33b.png,tensor(96.7940),tensor(27),tensor(82.8606),tensor(39)
27,34b.png,tensor(97.8015),tensor(28),tensor(86.0125),tensor(32)
28,35b.png,tensor(97.6692),tensor(29),tensor(78.9461),tensor(89)
29,36b.png,tensor(86.1865),tensor(30),tensor(76.0421),tensor(39)
30,37b.png,tensor(97.4405),tensor(31),tensor(90.6391),tensor(32)
31,38b.png,tensor(96.5099),tensor(32),tensor(89.4787),tensor(31)
32,39b.png,tensor(93.7980),tensor(33),tensor(82.4171),tensor(59)
33,3b.png,tensor(95.7123),tensor(34),tensor(75.1924),tensor(2)
34,40b.png,tensor(93.8638),tensor(35),tensor(73.7214),tensor(68)
35,41b.png,tensor(82.4216),tensor(36),tensor(79.1447),tensor(88)
36,42b.png,tensor(91.9159),tensor(37),tensor(78.5477),tensor(89)
37,43b.png,tensor(95.4390),tensor(38),tensor(80.4003),tensor(18)
38,44b.png,tensor(97.8931),tensor(39),tensor(80.5799),tensor(27)
39,45b.png,tensor(96.7350),tensor(40),tensor(86.3837),tensor(65)
40,46b.png,tensor(89.1910),tensor(41),tensor(76.8574),tensor(68)
41,47b.png,tensor(93.7990),tensor(42),tensor(76.1314),tensor(73)
42,48b.png,tensor(95.3766),tensor(43),tensor(72.9751),tensor(68)
43,49b.png,tensor(95.4150),tensor(44),tensor(80.8541),tensor(24)
44,4b.png,tensor(98.0057),tensor(45),tensor(79.0022),tensor(14)
45,50b.png,tensor(93.0706),tensor(46),tensor(68.8164),tensor(57)
46,51b.png,tensor(96.5197),tensor(47),tensor(90.0146),tensor(57)
47,52b.png,tensor(92.9807),tensor(48),tensor(75.7262),tensor(74)
48,53b.png,tensor(89.1340),tensor(49),tensor(78.1002),tensor(85)
49,54b.png,tensor(93.2435),tensor(50),tensor(80.5456),tensor(52)
50,55b.png,tensor(97.1501),tensor(51),tensor(83.4151),tensor(68)
51,56b.png,tensor(97.8832),tensor(52),tensor(81.7372),tensor(68)
52,57b.png,tensor(91.7671),tensor(53),tensor(76.5798),tensor(18)
53,58b.png,tensor(97.3026),tensor(54),tensor(81.9094),tensor(70)
54,59b.png,tensor(93.5319),tensor(55),tensor(81.7535),tensor(83)
55,5b.png,tensor(96.1451),tensor(56),tensor(78.4286),tensor(11)
56,60b.png,tensor(96.3411),tensor(57),tensor(88.4317),tensor(47)
57,61b.png,tensor(97.3203),tensor(58),tensor(79.5484),tensor(64)
58,62b.png,tensor(92.0108),tensor(59),tensor(80.9552),tensor(24)
59,63b.png,tensor(96.5230),tensor(60),tensor(86.3962),tensor(20)
60,64b.png,tensor(93.3570),tensor(61),tensor(83.9001),tensor(75)
61,65b.png,tensor(96.6838),tensor(62),tensor(79.8574),tensor(70)
62,66b.png,tensor(96.2771),tensor(63),tensor(77.4749),tensor(70)
63,67b.png,tensor(96.9338),tensor(64),tensor(84.0233),tensor(65)
64,68b.png,tensor(98.7865),tensor(65),tensor(87.3492),tensor(40)
65,69b.png,tensor(85.5924),tensor(66),tensor(68.2997),tensor(79)
66,6b.png,tensor(93.9001),tensor(67),tensor(84.3447),tensor(14)
67,70b.png,tensor(97.9758),tensor(68),tensor(80.7981),tensor(52)
68,71b.png,tensor(93.4312),tensor(69),tensor(76.9284),tensor(70)
69,72b.png,tensor(95.9050),tensor(70),tensor(84.6697),tensor(62)
70,73b.png,tensor(90.6660),tensor(71),tensor(86.7896),tensor(83)
71,74b.png,tensor(90.4118),tensor(72),tensor(84.9669),tensor(13)
72,75b.png,tensor(93.5096),tensor(73),tensor(77.2361),tensor(83)
73,76b.png,tensor(94.2121),tensor(74),tensor(78.2967),tensor(90)
74,77b.png,tensor(96.6023),tensor(75),tensor(83.7275),tensor(61)
